Type,N,K,Sched,Chunk,Threads,Time
TASK_A,100000,20,static,0,1,0.0621615
TASK_A,100000,20,dynamic,1,1,0.0606013
TASK_A,100000,20,dynamic,4,1,0.0593036
TASK_A,100000,20,dynamic,16,1,0.0584036
TASK_A,100000,20,dynamic,64,1,0.0608972
TASK_A,100000,20,guided,1,1,0.0607681
TASK_A,100000,20,guided,4,1,0.0597915
TASK_A,100000,20,guided,16,1,0.0645701
TASK_A,100000,20,guided,64,1,0.0628812
TASK_A,100000,20,static,0,1,0.0636315
TASK_A,100000,20,dynamic,1,1,0.066047
TASK_A,100000,20,dynamic,4,1,0.0771124
TASK_A,100000,20,dynamic,16,1,0.0587619
TASK_A,100000,20,dynamic,64,1,0.0596115
TASK_A,100000,20,guided,1,1,0.0639695
TASK_A,100000,20,guided,4,1,0.0585886
TASK_A,100000,20,guided,16,1,0.0581955
TASK_A,100000,20,guided,64,1,0.0586408
TASK_A,100000,20,static,0,1,0.0586433
TASK_A,100000,20,dynamic,1,1,0.0600139
TASK_A,100000,20,dynamic,4,1,0.0594954
TASK_A,100000,20,dynamic,16,1,0.0601806
TASK_A,100000,20,dynamic,64,1,0.059891
TASK_A,100000,20,guided,1,1,0.0580854
TASK_A,100000,20,guided,4,1,0.058527
TASK_A,100000,20,guided,16,1,0.0585859
TASK_A,100000,20,guided,64,1,0.0598123
TASK_A,100000,20,static,0,1,0.0644064
TASK_A,100000,20,dynamic,1,1,0.0612661
TASK_A,100000,20,dynamic,4,1,0.0620355
TASK_A,100000,20,dynamic,16,1,0.0614711
TASK_A,100000,20,dynamic,64,1,0.0637138
TASK_A,100000,20,guided,1,1,0.062267
TASK_A,100000,20,guided,4,1,0.0597664
TASK_A,100000,20,guided,16,1,0.0587761
TASK_A,100000,20,guided,64,1,0.0596753
TASK_A,100000,20,static,0,1,0.0617239
TASK_A,100000,20,dynamic,1,1,0.0663865
TASK_A,100000,20,dynamic,4,1,0.0627952
TASK_A,100000,20,dynamic,16,1,0.0627261
TASK_A,100000,20,dynamic,64,1,0.0643174
TASK_A,100000,20,guided,1,1,0.058661
TASK_A,100000,20,guided,4,1,0.0637242
TASK_A,100000,20,guided,16,1,0.0653689
TASK_A,100000,20,guided,64,1,0.0583419
TASK_A,100000,20,static,0,2,0.0405359
TASK_A,100000,20,dynamic,1,2,0.0356056
TASK_A,100000,20,dynamic,4,2,0.0368203
TASK_A,100000,20,dynamic,16,2,0.0372548
TASK_A,100000,20,dynamic,64,2,0.0374739
TASK_A,100000,20,guided,1,2,0.0401516
TASK_A,100000,20,guided,4,2,0.0379982
TASK_A,100000,20,guided,16,2,0.0427154
TASK_A,100000,20,guided,64,2,0.0429118
TASK_A,100000,20,static,0,2,0.0485404
TASK_A,100000,20,dynamic,1,2,0.0361697
TASK_A,100000,20,dynamic,4,2,0.0371056
TASK_A,100000,20,dynamic,16,2,0.0346606
TASK_A,100000,20,dynamic,64,2,0.0369717
TASK_A,100000,20,guided,1,2,0.0418552
TASK_A,100000,20,guided,4,2,0.0417215
TASK_A,100000,20,guided,16,2,0.0350775
TASK_A,100000,20,guided,64,2,0.0395611
TASK_A,100000,20,static,0,2,0.0429475
TASK_A,100000,20,dynamic,1,2,0.0420269
TASK_A,100000,20,dynamic,4,2,0.0456232
TASK_A,100000,20,dynamic,16,2,0.0368599
TASK_A,100000,20,dynamic,64,2,0.0398248
TASK_A,100000,20,guided,1,2,0.0423306
TASK_A,100000,20,guided,4,2,0.0434217
TASK_A,100000,20,guided,16,2,0.0402735
TASK_A,100000,20,guided,64,2,0.0419447
TASK_A,100000,20,static,0,2,0.0425445
TASK_A,100000,20,dynamic,1,2,0.0340079
TASK_A,100000,20,dynamic,4,2,0.0398239
TASK_A,100000,20,dynamic,16,2,0.0367922
TASK_A,100000,20,dynamic,64,2,0.03823
TASK_A,100000,20,guided,1,2,0.0365006
TASK_A,100000,20,guided,4,2,0.0423557
TASK_A,100000,20,guided,16,2,0.0447063
TASK_A,100000,20,guided,64,2,0.0359693
TASK_A,100000,20,static,0,2,0.0431343
TASK_A,100000,20,dynamic,1,2,0.037679
TASK_A,100000,20,dynamic,4,2,0.0372732
TASK_A,100000,20,dynamic,16,2,0.0336191
TASK_A,100000,20,dynamic,64,2,0.0337099
TASK_A,100000,20,guided,1,2,0.0397871
TASK_A,100000,20,guided,4,2,0.0420703
TASK_A,100000,20,guided,16,2,0.0353784
TASK_A,100000,20,guided,64,2,0.0396605
TASK_A,100000,20,static,0,4,0.0294365
TASK_A,100000,20,dynamic,1,4,0.0237532
