Type,N,B,Variant,Threads,Time
TASK_B,100000,32,critical,1,0.00201745
TASK_B,100000,32,atomic,1,0.00091335
TASK_B,100000,32,local,1,9.2389e-05
TASK_B,100000,32,critical,1,0.00245399
TASK_B,100000,32,atomic,1,0.000800539
TASK_B,100000,32,local,1,6.8462e-05
TASK_B,100000,32,critical,1,0.00192936
TASK_B,100000,32,atomic,1,0.000882287
TASK_B,100000,32,local,1,7.7689e-05
TASK_B,100000,32,critical,1,0.00232011
TASK_B,100000,32,atomic,1,0.000836684
TASK_B,100000,32,local,1,5.9816e-05
TASK_B,100000,32,critical,1,0.00222784
TASK_B,100000,32,atomic,1,0.000844029
TASK_B,100000,32,local,1,9.4047e-05
TASK_B,100000,32,critical,2,0.00640216
TASK_B,100000,32,atomic,2,0.00201147
TASK_B,100000,32,local,2,0.000178486
TASK_B,100000,32,critical,2,0.00600372
TASK_B,100000,32,atomic,2,0.00210835
TASK_B,100000,32,local,2,0.000230431
TASK_B,100000,32,critical,2,0.00937114
TASK_B,100000,32,atomic,2,0.000983546
TASK_B,100000,32,local,2,0.000221831
TASK_B,100000,32,critical,2,0.0100897
TASK_B,100000,32,atomic,2,0.00231792
TASK_B,100000,32,local,2,0.000242226
TASK_B,100000,32,critical,2,0.00730621
TASK_B,100000,32,atomic,2,0.00209524
TASK_B,100000,32,local,2,0.000337271
TASK_B,100000,32,critical,4,0.00848642
TASK_B,100000,32,atomic,4,0.00204921
TASK_B,100000,32,local,4,0.000242556
TASK_B,100000,32,critical,4,0.0078983
TASK_B,100000,32,atomic,4,0.00177521
TASK_B,100000,32,local,4,0.000228331
TASK_B,100000,32,critical,4,0.0077792
TASK_B,100000,32,atomic,4,0.00191704
TASK_B,100000,32,local,4,0.000217685
TASK_B,100000,32,critical,4,0.00737496
TASK_B,100000,32,atomic,4,0.00186635
TASK_B,100000,32,local,4,0.000217362
TASK_B,100000,32,critical,4,0.00758901
TASK_B,100000,32,atomic,4,0.00187596
TASK_B,100000,32,local,4,0.000221706
TASK_B,100000,32,critical,8,0.010842
TASK_B,100000,32,atomic,8,0.00194268
TASK_B,100000,32,local,8,0.00036226
TASK_B,100000,32,critical,8,0.0108741
TASK_B,100000,32,atomic,8,0.00196948
TASK_B,100000,32,local,8,0.000313977
TASK_B,100000,32,critical,8,0.0110262
TASK_B,100000,32,atomic,8,0.0018612
TASK_B,100000,32,local,8,0.000350829
TASK_B,100000,32,critical,8,0.0113608
TASK_B,100000,32,atomic,8,0.00203015
TASK_B,100000,32,local,8,0.000337993
TASK_B,100000,32,critical,8,0.0103696
TASK_B,100000,32,atomic,8,0.00193061
TASK_B,100000,32,local,8,0.000286085
TASK_B,100000,32,critical,16,0.0112799
TASK_B,100000,32,atomic,16,0.00218835
TASK_B,100000,32,local,16,0.000725767
TASK_B,100000,32,critical,16,0.011226
TASK_B,100000,32,atomic,16,0.00226553
TASK_B,100000,32,local,16,0.000630243
TASK_B,100000,32,critical,16,0.012016
TASK_B,100000,32,atomic,16,0.00199569
TASK_B,100000,32,local,16,0.000573607
TASK_B,100000,32,critical,16,0.0106765
TASK_B,100000,32,atomic,16,0.00204422
