Type,N,K,Sched,Chunk,Threads,Time
TASK_A,1000,10,static,0,1,2.2e-05
TASK_A,1000,10,dynamic,1,1,2.2e-05
TASK_A,1000,10,dynamic,4,1,2.3e-05
TASK_A,1000,10,guided,1,1,1.4e-05
TASK_A,1000,10,guided,4,1,1.4e-05
TASK_A,1000,10,static,0,2,3.1e-05
TASK_A,1000,10,dynamic,1,2,5e-05
TASK_A,1000,10,dynamic,4,2,3.7e-05
TASK_A,1000,10,guided,1,2,3.2e-05
TASK_A,1000,10,guided,4,2,3.6e-05
TASK_A,1000,14,static,0,1,4e-05
TASK_A,1000,14,dynamic,1,1,4e-05
TASK_A,1000,14,dynamic,4,1,3.7e-05
TASK_A,1000,14,guided,1,1,3.7e-05
TASK_A,1000,14,guided,4,1,3.6e-05
TASK_A,1000,14,static,0,2,4.1e-05
TASK_A,1000,14,dynamic,1,2,4.7e-05
TASK_A,1000,14,dynamic,4,2,4.5e-05
TASK_A,1000,14,guided,1,2,4.8e-05
TASK_A,1000,14,guided,4,2,4.7e-05
TASK_A,5000,10,static,0,1,3.8e-05
TASK_A,5000,10,dynamic,1,1,5.1e-05
TASK_A,5000,10,dynamic,4,1,4.1e-05
TASK_A,5000,10,guided,1,1,3.6e-05
TASK_A,5000,10,guided,4,1,3.6e-05
TASK_A,5000,10,static,0,2,4.3e-05
TASK_A,5000,10,dynamic,1,2,0.000162
TASK_A,5000,10,dynamic,4,2,6.1e-05
TASK_A,5000,10,guided,1,2,5.4e-05
TASK_A,5000,10,guided,4,2,4.6e-05
TASK_A,5000,14,static,0,1,0.000166
TASK_A,5000,14,dynamic,1,1,0.000193
TASK_A,5000,14,dynamic,4,1,0.000167
TASK_A,5000,14,guided,1,1,0.000167
TASK_A,5000,14,guided,4,1,0.000172
TASK_A,5000,14,static,0,2,0.000141
TASK_A,5000,14,dynamic,1,2,0.000124
TASK_A,5000,14,dynamic,4,2,0.000174
TASK_A,5000,14,guided,1,2,0.000185
TASK_A,5000,14,guided,4,2,0.000117
