Type,N,B,Variant,Threads,Time
TASK_B,1000,32,critical,1,1.4e-05
TASK_B,1000,32,atomic,1,6e-06
TASK_B,1000,32,local,1,5.99999e-06
TASK_B,1000,32,critical,2,4.2e-05
TASK_B,1000,32,atomic,2,3.2e-05
TASK_B,1000,32,local,2,2.9e-05
TASK_B,1000,128,critical,1,8e-06
TASK_B,1000,128,atomic,1,4e-06
TASK_B,1000,128,local,1,4.99999e-06
TASK_B,1000,128,critical,2,2.9e-05
TASK_B,1000,128,atomic,2,2.8e-05
TASK_B,1000,128,local,2,2.7e-05
TASK_B,5000,32,critical,1,2.5e-05
TASK_B,5000,32,atomic,1,7.99999e-06
TASK_B,5000,32,local,1,4.99999e-06
TASK_B,5000,32,critical,2,5.5e-05
TASK_B,5000,32,atomic,2,3e-05
TASK_B,5000,32,local,2,2.9e-05
TASK_B,5000,128,critical,1,2.3e-05
TASK_B,5000,128,atomic,1,7e-06
TASK_B,5000,128,local,1,5.99999e-06
TASK_B,5000,128,critical,2,4.9e-05
TASK_B,5000,128,atomic,2,3.2e-05
TASK_B,5000,128,local,2,3e-05
